feature_set,target,mae,rmse,r2,mape,n
pixels,width,4.54257084466597,5.431045558534757,0.07302821664739867,4.693678411485726,26
pixels,height,3.023269338192636,3.7063331620061817,0.7687597537013453,3.486488798333852,26
morphology,width,3.335748152358682,3.95893198334899,0.5074438981002294,3.384562225917941,26
morphology,height,2.637975232505341,3.5319782877987014,0.7900042222504188,3.040190503458807,26
